sku_id,sku_status,licensed,tier,shop,trust,title,variant,price_usd,boxes_per_case,unit_price_per_box,in_stock,landed_eur_est_8box_bundle,market_ask_us,market_sold_us,market_sold_source,market_sold_checked_at,buy_below,watch_below,eu_ref_eur,status,restock,url,seen_at,match_score
PANINI_2023-24_MOSAIC_MEGA,ACTIVE,True,retail,bleecker,watch,2023-24 Mosaic Basketball NBA Mega Box,,80.0,,,0,95.54,,,,,70.0,80.0,,,0,https://bleeckertrading.com/products/2023-24-mosaic-basketball-nba-sealed-mega-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_PRIZM_HANGER,ACTIVE,True,retail,collectorstore,trusted,2023-24 Panini Prizm Basketball Hanger Box (Orange Ice Prizm),,99.99,,,1,116.22,,,,,25.0,40.0,,NO_GO,0,https://collectorstore.com/products/2023-24-panini-prizm-basketball-hanger-box-orange-ice-prizm,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_PRIZM_HANGER,ACTIVE,True,retail,superior,watch,2023-24 Panini Prizm Basketball Hanger Box,,110.0,,,1,126.57,,,,,25.0,40.0,,,0,https://superiorsportsinvestments.com/products/2023-24-panini-prizm-basketball-hanger-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_PRIZM_HANGER,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Prizm Basketball Hanger Box (Ice Prizm),,50.0,,,0,64.51,,,,,25.0,40.0,,,0,https://bleeckertrading.com/products/2023-24-panini-prizm-basketball-sealed-hanger-box-ice-prizm,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_PHOENIX_MEGA,ACTIVE,True,retail,hiddengems,trusted,2023-24 Panini Phoenix Basketball Mega Box,,29.99,,,0,43.81,29.99,,,,30,40,,,0,https://www.hiddengemscardshop.com/products/2023-24-panini-phoenix-mega-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_PHOENIX_MEGA,ACTIVE,True,retail,awesome,trusted,2023/24 Panini Phoenix Basketball Mega Box,,49.75,,,0,64.25,29.99,,,,30,40,,,0,https://theawesomecardshop.com/products/2023-24-panini-phoenix-basketball-mega-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_PHOENIX_MEGA,ACTIVE,True,retail,monmouth,watch,2023-24 Panini Phoenix Basketball Mega Box,,59.99,,,0,74.84,29.99,,,,30,40,,,0,https://monmouthcards.com/products/2023-24-panini-phoenix-basketball-mega-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_PHOENIX_MEGA,ACTIVE,True,retail,sportscardjunction,watch,2023-24 Panini Phoenix Basketball Mega Box,,60.0,,,0,74.85,29.99,,,,30,40,,,0,https://sportscardjunction.com/products/2023-24-panini-phoenix-basketball-mega-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_PHOENIX_MEGA,ACTIVE,True,retail,bleecker,watch,2023-24 Panini Phoenix Basketball Mega Box,,65.0,,,0,80.02,29.99,,,,30,40,,,0,https://bleeckertrading.com/products/2023-24-phoenix-basketball-mega-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY_BLASTER,ACTIVE,True,retail,sportscardjunction,watch,2023-24 Panini Donruss Optic Basketball Hobby Blaster Box,,40.0,,,0,54.16,54.99,,,,40,50,,,0,https://sportscardjunction.com/products/2023-24-panini-donruss-optic-basketball-hobby-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY_BLASTER,ACTIVE,True,retail,awesome,trusted,2023-24 Panini Donruss Optic Basketball Hobby Blaster Box (Green Shock),,49.0,,,0,63.47,54.99,,,,40,50,,,0,https://theawesomecardshop.com/products/2023-24-panini-donruss-optic-basketball-hobby-blaster-box-green-shock,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY_BLASTER,ACTIVE,True,retail,ehcards,trusted,2023/24 Panini Donruss Optic Basketball 6-Pack Hobby Blaster Box,,54.99,,,0,69.67,54.99,,,,40,50,,,0,https://ehcards.com/products/2023-24-donruss-optic-basketball-6-pack-hobby-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY_BLASTER,ACTIVE,True,retail,ballgame,watch,2023-24 Panini Donruss Optic NBA Trading Card Box (Hobby Blaster),,55.0,,,0,69.68,54.99,,,,40,50,,,0,https://theballgame.com/products/2023-24-panini-donruss-optic-nba-trading-card-box-hobby-blaster,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_HOBBY_BLASTER,ACTIVE,True,retail,columbia,trusted,2023/24 Panini Donruss Optic Basketball 6-Pack Hobby Blaster Box,,59.95,,,0,74.8,54.99,,,,40,50,,,0,https://columbiasportscard.com/products/2023-24-panini-donruss-optic-basketball-6-pack-hobby-blaster-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_OPTIC_HANGER,ACTIVE,True,retail,superior,watch,2023-24 Panini Donruss Optic Basketball Hanger Box (Velocity Parallels),,75.0,,,1,90.37,75.0,,,,25,40,,NO_GO,0,https://superiorsportsinvestments.com/products/2023-24-panini-donruss-optic-basketball-hanger-box-velocity-parallels,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_HANGER,ACTIVE,True,retail,rbicru7,trusted,"2023-24 Panini Select Basketball, Hanger Box",,55.0,,,1,69.68,55.0,,,,25,40,,NO_GO,0,https://rbicru7.com/products/2023-24-panini-select-basketball-hanger-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_HANGER,ACTIVE,True,retail,ehcards,trusted,2023/24 Panini Select NBA Basketball Hanger Box - 20 Cards,,29.99,,,0,43.81,55.0,,,,25,40,,,0,https://ehcards.com/products/2023-24-panini-select-nba-basketball-hanger-box-20-cards,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_HANGER,ACTIVE,True,retail,hiddengems,trusted,2023-24 Panini Select Basketball Hanger Box,,29.99,,,0,43.81,55.0,,,,25,40,,,0,https://www.hiddengemscardshop.com/products/2023-24-panini-select-basketball-hanger-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_HANGER,ACTIVE,True,retail,bleecker,watch,2023-24 Select Basketball Hanger Box,,40.0,,,0,54.16,55.0,,,,25,40,,,0,https://bleeckertrading.com/products/2023-24-select-basketball-sealed-hanger-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_HANGER,ACTIVE,True,retail,hiddengems,trusted,2023-24 Panini NBA Select Basketball Hanger Box,,45.0,,,0,59.34,55.0,,,,25,40,,,0,https://www.hiddengemscardshop.com/products/2023-24-panini-nba-select-basketball-hanger-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_HOBBY_MEGA,ACTIVE,True,retail,sportscardjunction,watch,2023-24 Panini Select Basketball Hobby Mega Box,,80.0,,,0,95.54,80.0,,,,60,75,,,0,https://sportscardjunction.com/products/2023-24-panini-select-basketball-hobby-mega-box,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_SELECT_HOBBY_MEGA,ACTIVE,True,retail,bleecker,watch,2023-24 Select Basketball Hobby Mega Box,,95.0,,,0,111.06,80.0,,,,60,75,,,0,https://bleeckertrading.com/products/2023-24-select-basketball-sealed-mega-box-1,2026-08-18T08:42:05+00:00,1.0
PANINI_2023-24_PRIZM_MEGA,ACTIVE,True,retail,worldchampion,watch,2023-24 Panini Prizm Basketball Mega Box (Pink Ice Prizms!),,100.0,,,0,116.23,134.0,,,,90,110,,,0,https://www.worldchampionsportscards.org/products/2023-24-panini-prizm-basketball-mega-box-pink-ice-prizms,2026-08-18T08:42:05+00:00,1.0
